method	dataset	sample_id	cancer	platform	sender_compartment	receiver_compartment	ligand	receptor	pathway	commot_mean_score	sender_spots	receiver_spots	distance_threshold_array_units
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	tumor_like	HBEGF	EGFR	EGF/ERBB	7.386557537732293e-06	992	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	HBEGF	EGFR	EGF/ERBB	0.00028503130651748873	992	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	HBEGF	EGFR	EGF/ERBB	3.788304360409508e-05	992	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	tumor_like	HBEGF	EGFR	EGF/ERBB	1.7750724241318364e-05	360	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	HBEGF	EGFR	EGF/ERBB	0.00011868764520595481	360	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	HBEGF	EGFR	EGF/ERBB	0.0007503713682858315	360	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	tumor_like	COL1A1	ITGA2	ECM-integrin	0.0013509693687003886	1187	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	6.625624994674374e-08	1187	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	tumor_like	ambiguous_or_low_signal	COL1A1	ITGA2	ECM-integrin	4.386003502494906e-07	1187	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	tumor_like	COL1A1	ITGA2	ECM-integrin	3.0973567700574965e-06	992	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.0007201777522160726	992	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	stroma_fibroblast	ambiguous_or_low_signal	COL1A1	ITGA2	ECM-integrin	2.491267089195757e-06	992	360	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	tumor_like	COL1A1	ITGA2	ECM-integrin	3.247891408175689e-05	360	1187	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	6.187932457040333e-07	360	992	2.5
commot_pilot_v1	GSE300445	GSM9060732_AdjIII-0019	melanoma	Visium	ambiguous_or_low_signal	ambiguous_or_low_signal	COL1A1	ITGA2	ECM-integrin	0.0025997137036685046	360	360	2.5
