dataset	sample_id	cancer	pathway	receiver_compartment	target_genes_in_panel	target_genes_detected	target_genes_detected_list	receiver_spots	receiver_target_mean	other_compartment_target_mean	receiver_target_enrichment	receiver_target_positive_spot_fraction	receiver_target_percentile	target_activation_support	matrix_rows	matrix_cols	matrix_nnz
GSE300445	GSM9060733_AdjIII-0022	melanoma	SPP1	endothelial	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	0	0	12.796622	7.8145621e-11	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	SPP1	ambiguous_or_low_signal	6	6	SPP1,CD44,ITGAV,ITGB1,FN1,MMP9	729	17.892318	10.988072	1.6283401	0.98491084	0.8	1	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	TGFB	tumor_like	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	367	16.544181	16.736223	0.98852536	0.9972752	0.8	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	TGFB	immune	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	0	0	16.710898	5.9841189e-11	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	TGFB	stroma_fibroblast	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	1687	17.682446	15.215459	1.1621369	0.9982217	1	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	TGFB	endothelial	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	0	0	16.710898	5.9841189e-11	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	TGFB	ambiguous_or_low_signal	8	7	SERPINE1,SMAD7,CCN2,COL1A1,COL1A2,FN1,ACTA2	729	14.546541	17.479065	0.8322265	0.98353909	0.6	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	VEGF	tumor_like	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	367	0.89723628	0.88576159	1.0129546	0.95095368	0.8	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	VEGF	immune	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	0	0	0.88727478	1.1270466e-09	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	VEGF	stroma_fibroblast	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	1687	0.82335507	0.98566215	0.83533193	0.80260818	0.6	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	VEGF	endothelial	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	0	0	0.88727478	1.1270466e-09	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	VEGF	ambiguous_or_low_signal	7	7	KDR,FLT1,VWF,PECAM1,PLVAP,ENG,ESAM	729	1.0301783	0.83655585	1.2314519	0.97256516	1	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	WNT	tumor_like	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	367	2.5325029	1.117254	2.2667208	0.98365123	1	1	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	WNT	immune	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	0	0	1.3038858	7.6693831e-10	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	WNT	stroma_fibroblast	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	1687	0.81785079	2.0520073	0.39856135	0.74510966	0.6	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	WNT	endothelial	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	0	0	1.3038858	7.6693831e-10	0	0.4	0	18085	2783	18900716
GSE300445	GSM9060733_AdjIII-0022	melanoma	WNT	ambiguous_or_low_signal	7	7	AXIN2,LEF1,TCF7,DKK1,FZD5,JUN,FOS	729	1.8101117	1.1242176	1.610108	0.9739369	0.8	1	18085	2783	18900716
GSE300445	GSM9060734_AdjIII-0113	melanoma	CCL chemokine	tumor_like	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	179	1	0.41641234	2.4014658	0.83798883	0.6	0	18085	2145	10408619
GSE300445	GSM9060734_AdjIII-0113	melanoma	CCL chemokine	immune	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	55	2.3818182	0.41467305	5.7438461	1	1	1	18085	2145	10408619
GSE300445	GSM9060734_AdjIII-0113	melanoma	CCL chemokine	stroma_fibroblast	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	1694	0.20966155	1.424612	0.14717099	0.39905549	0.4	0	18085	2145	10408619
GSE300445	GSM9060734_AdjIII-0113	melanoma	CCL chemokine	endothelial	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	0	0	0.46511267	2.1500167e-09	0	0.2	0	18085	2145	10408619
GSE300445	GSM9060734_AdjIII-0113	melanoma	CCL chemokine	ambiguous_or_low_signal	6	6	CCL2,CCL3,CCL4,CCR2,LST1,IL1B	217	1.5322581	0.34500346	4.4412832	0.93087558	0.8	1	18085	2145	10408619
GSE300445	GSM9060734_AdjIII-0113	melanoma	CXCL chemokine	tumor_like	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	179	20.155626	4.0559512	4.9693957	0.99441341	0.8	1	18085	2145	10408619
GSE300445	GSM9060734_AdjIII-0113	melanoma	CXCL chemokine	immune	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	55	29.436364	4.7669173	6.1751362	1	1	1	18085	2145	10408619
GSE300445	GSM9060734_AdjIII-0113	melanoma	CXCL chemokine	stroma_fibroblast	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	1694	1.3656603	20.550839	0.066452775	0.78158205	0.4	0	18085	2145	10408619
GSE300445	GSM9060734_AdjIII-0113	melanoma	CXCL chemokine	endothelial	7	7	CXCL9,CXCL10,CXCL11,CXCR3,CXCR4,ISG15,STAT1	0	0	5.3994672	1.8520346e-10	0	0.2	0	18085	2145	10408619
