variant	rank_in_variant	candidate_id	dataset	sample_id	cancer	sender_compartment	receiver_compartment	ligand	receptor	pathway	full_v3	confidence_tier_pilot_v3	all_null_gates	both_external	target_activation_support	no_null	no_external	no_recurrence	no_raw_score	no_annotation	equal_weight
equal_weight	36	GSE292299|GSM8855709_NSCLC_P7|immune|immune|SPP1|CD44|SPP1	GSE292299	GSM8855709_NSCLC_P7	NSCLC	immune	immune	SPP1	CD44	SPP1	0.930357	high_pilot_v3	True	True	0						0.887840602
equal_weight	37	GSE283052|GSM8655159_P05|stroma_fibroblast|stroma_fibroblast|MIF|CD74|MIF	GSE283052	GSM8655159_P05	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.935266	high_pilot_v3	True	True	1						0.8872174340000001
equal_weight	38	GSE292299|GSM8855704_NSCLC_P2|stroma_fibroblast|stroma_fibroblast|COL1A1|ITGA2|ECM-integrin	GSE292299	GSM8855704_NSCLC_P2	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.929398	high_pilot_v3	True	True	1						0.8865621919999999
equal_weight	39	GSE292299|GSM8855708_NSCLC_P6|stroma_fibroblast|stroma_fibroblast|SPP1|CD44|SPP1	GSE292299	GSM8855708_NSCLC_P6	NSCLC	stroma_fibroblast	stroma_fibroblast	SPP1	CD44	SPP1	0.934698	high_pilot_v3	True	True	1						0.8864598579999999
equal_weight	40	GSE292299|GSM8855711_NSCLC_P9|tumor_like|tumor_like|MIF|CD74|MIF	GSE292299	GSM8855711_NSCLC_P9	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.934662	high_pilot_v3	True	True	1						0.8864125099999999
equal_weight	41	GSE283052|GSM8655158_P04|stroma_fibroblast|stroma_fibroblast|MIF|CD74|MIF	GSE283052	GSM8655158_P04	colorectal cancer	stroma_fibroblast	stroma_fibroblast	MIF	CD74	MIF	0.934378	high_pilot_v3	True	True	1						0.886033722
equal_weight	42	GSE292299|GSM8855717_NSCLC_P15|tumor_like|tumor_like|MIF|CD74|MIF	GSE292299	GSM8855717_NSCLC_P15	NSCLC	tumor_like	tumor_like	MIF	CD74	MIF	0.933845	high_pilot_v3	True	True	0						0.885323494
equal_weight	43	GSE300445|GSM9060735_AdjIII-0133|stroma_fibroblast|stroma_fibroblast|COL1A1|ITGA2|ECM-integrin	GSE300445	GSM9060735_AdjIII-0133	melanoma	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.927049	high_pilot_v3	True	True	1						0.885061906
equal_weight	44	GSE292299|GSM8855714_NSCLC_P12|stroma_fibroblast|stroma_fibroblast|COL1A1|ITGA2|ECM-integrin	GSE292299	GSM8855714_NSCLC_P12	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.933561	high_pilot_v3	True	True	1						0.884944706
equal_weight	45	GSE292299|GSM8855709_NSCLC_P7|stroma_fibroblast|stroma_fibroblast|COL1A1|ITGA2|ECM-integrin	GSE292299	GSM8855709_NSCLC_P7	NSCLC	stroma_fibroblast	stroma_fibroblast	COL1A1	ITGA2	ECM-integrin	0.925977	high_pilot_v3	True	True	1						0.884733278
